L4 endpiece,380.242,379.961
L4 endpiece,0,0.001
L1 endpiece,380.33,380.04
L1 endpiece,64.989,64.779
L1 endpiece DS,0.251,0.09
L1 endpiece DS,64.938,64.811
L4 endpiece DS,-0.02,-0.02
L4 endpiece DS,-0.006,-0.006
L4 DS B,13.199,13.229
L4 DS B,-0.766,-0.548
L4 DS T,13.09,13.162
L4 DS T,12.424,12.598
L3 DS B,13.598,13.514
L3 DS B,17.766,17.685
L3 DS T,13.554,13.474
L3 DS T,31.689,31.527
L2 DS B,13.542,13.012
L2 DS B,37.284,37.055
L2 DS T,13.488,13
L2 DS T,51.228,50.969
L1 DS B,13.447,12.706
L1 DS B,56.352,55.794
L1 DS T,13.494,12.686
L1 DS T,69.515,68.989
L1 US T,367.019,366.635
L1 US T,69.355,69.063
L1 US B,367.079,366.61
L1 US B,56.113,55.917
L2 US T,367.063,366.695
L2 US T,50.931,50.835
L2 US B,367.084,366.693
L2 US B,36.931,36.869
L3 US T,367.162,367.144
L3 US T,31.847,31.815
L3 US B,367.172,367.149
L3 US B,17.769,17.768
L4 US T,366.673,366.796
L4 US T,12.521,12.587
L1 US B,366.585,366.927
L1 US B,-0.819,-0.623
