Controller name: DT6220, Controller serial number: 1102, Controller software version: 1.1l, Controller option: 0, Controller article number: 4105032, Firmware version: DT6200;V1.3a;8010079, Average type: 4, Average count: 7, Sample time: 256 µs, Measurement rate: 3906.250 Hz, 
Channel 1:, Sensor name: DL6220/ECL3, Serial number: 1034, Article number: 2303023, Range: 2000, Unit: µm, Transmission: on, Math offset (µm): 0.000, , 
Channel 2:, Sensor name: DL6220/ECL3, Serial number: 1035, Article number: 2303023, Range: 100, Unit: µm, Transmission: on, Math offset (µm): 0.000, , 
DAQ-Start-Time:, 2020-12-17 13:46:07.469, 

Protocol Time Stamp(s), Data channel 1 (µm), Data channel 2 (µm), State channel 1
2020-12-17 13:46:11.270249, 1357.14801,  106.88762, 000000
2020-12-17 13:46:11.270505, 1357.23325,  106.88762, 000000
2020-12-17 13:46:11.270761, 1357.09389,  106.88762, 000000
2020-12-17 13:46:11.271017, 1357.02237,  106.88762, 000000
2020-12-17 13:46:11.271272, 1357.04168,  106.88762, 000000
2020-12-17 13:46:11.271528, 1356.89827,  106.88762, 000000
2020-12-17 13:46:11.271784, 1356.74902,  106.88762, 000000
2020-12-17 13:46:11.272041, 1356.89004,  106.88762, 000000
2020-12-17 13:46:11.272297, 1356.77930,  106.88762, 000000
2020-12-17 13:46:11.272552, 1356.68798,  106.88762, 000000
2020-12-17 13:46:11.272809, 1356.88706,  106.88762, 000000
2020-12-17 13:46:11.273064, 1356.81554,  106.88762, 000000
2020-12-17 13:46:11.273321, 1356.85142,  106.88762, 000000
2020-12-17 13:46:11.273576, 1356.98064,  106.88762, 000000
2020-12-17 13:46:11.273833, 1356.90089,  106.88762, 000000
2020-12-17 13:46:11.274089, 1356.85833,  106.88762, 000000
2020-12-17 13:46:11.274344, 1356.74294,  106.88762, 000000
2020-12-17 13:46:11.274601, 1356.78550,  106.88762, 000000
2020-12-17 13:46:11.274856, 1356.73364,  106.88762, 000000
2020-12-17 13:46:11.275113, 1356.77286,  106.88762, 000000
2020-12-17 13:46:11.275369, 1356.76702,  106.88762, 000000
2020-12-17 13:46:11.275625, 1356.69681,  106.88762, 000000
2020-12-17 13:46:11.275881, 1356.68715,  106.88762, 000000
2020-12-17 13:46:11.276136, 1356.58689,  106.88762, 000000
2020-12-17 13:46:11.276392, 1356.56246,  106.88762, 000000
2020-12-17 13:46:11.276649, 1356.50476,  106.88762, 000000
2020-12-17 13:46:11.276905, 1356.45255,  106.88762, 000000
2020-12-17 13:46:11.277161, 1356.51251,  106.88762, 000000
2020-12-17 13:46:11.277416, 1356.68548,  106.88762, 000000
2020-12-17 13:46:11.277673, 1356.58952,  106.88762, 000000
2020-12-17 13:46:11.277928, 1356.66975,  106.88762, 000000
2020-12-17 13:46:11.278185, 1356.66021,  106.88762, 000000
2020-12-17 13:46:11.278440, 1356.53420,  106.88762, 000000
2020-12-17 13:46:11.278697, 1356.77429,  106.88762, 000000
2020-12-17 13:46:11.278953, 1356.87192,  106.88762, 000000
2020-12-17 13:46:11.279208, 1356.78109,  106.88762, 000000
2020-12-17 13:46:11.279464, 1356.84212,  106.88762, 000000
2020-12-17 13:46:11.279721, 1356.90399,  106.88762, 000000
2020-12-17 13:46:11.279977, 1356.82972,  106.88762, 000000
2020-12-17 13:46:11.280232, 1356.97659,  106.88762, 000000
2020-12-17 13:46:11.280488, 1357.06743,  106.88762, 000000
2020-12-17 13:46:11.280745, 1356.89457,  106.88762, 000000
2020-12-17 13:46:11.281000, 1356.84319,  106.88762, 000000
2020-12-17 13:46:11.281257, 1356.89779,  106.88762, 000000
2020-12-17 13:46:11.281512, 1356.88563,  106.88762, 000000
2020-12-17 13:46:11.281769, 1356.87765,  106.88762, 000000
2020-12-17 13:46:11.282024, 1357.12083,  106.88762, 000000
2020-12-17 13:46:11.282280, 1357.10319,  106.88762, 000000
2020-12-17 13:46:11.282537, 1357.00091,  106.88762, 000000
2020-12-17 13:46:11.282793, 1357.15445,  106.88762, 000000
2020-12-17 13:46:11.283049, 1357.10808,  106.88762, 000000
2020-12-17 13:46:11.283304, 1357.17329,  106.88762, 000000
2020-12-17 13:46:11.283561, 1357.32945,  106.88762, 000000
2020-12-17 13:46:11.283817, 1357.26758,  106.88762, 000000
2020-12-17 13:46:11.284072, 1357.11869,  106.88762, 000000
2020-12-17 13:46:11.284329, 1357.06099,  106.88762, 000000
2020-12-17 13:46:11.284585, 1357.13454,  106.88762, 000000
2020-12-17 13:46:11.284841, 1357.35162,  106.88762, 000000
2020-12-17 13:46:11.285096, 1357.54915,  106.88762, 000000
2020-12-17 13:46:11.285352, 1357.71616,  106.88762, 000000
2020-12-17 13:46:11.285609, 1357.68279,  106.88762, 000000
2020-12-17 13:46:11.285865, 1357.55726,  106.88762, 000000
2020-12-17 13:46:11.286121, 1357.40717,  106.88762, 000000
2020-12-17 13:46:11.286376, 1357.35341,  106.88762, 000000
2020-12-17 13:46:11.286633, 1357.42315,  106.88762, 000000
2020-12-17 13:46:11.286888, 1357.43829,  106.88762, 000000
2020-12-17 13:46:11.287144, 1357.58944,  106.88762, 000000
2020-12-17 13:46:11.287401, 1357.67063,  106.88762, 000000
2020-12-17 13:46:11.287657, 1357.66181,  106.88762, 000000
2020-12-17 13:46:11.287913, 1357.68744,  106.88762, 000000
2020-12-17 13:46:11.288168, 1357.68863,  106.88762, 000000
2020-12-17 13:46:11.288424, 1357.58098,  106.88762, 000000
2020-12-17 13:46:11.288680, 1357.60160,  106.88762, 000000
2020-12-17 13:46:11.288937, 1357.75097,  106.88762, 000000
2020-12-17 13:46:11.289193, 1357.70675,  106.88762, 000000
2020-12-17 13:46:11.289448, 1357.89116,  106.88762, 000000
2020-12-17 13:46:11.289705, 1358.11158,  106.88762, 000000
2020-12-17 13:46:11.289960, 1358.15307,  106.88762, 000000
2020-12-17 13:46:11.290216, 1358.18883,  106.88762, 000000
2020-12-17 13:46:11.290473, 1358.18513,  106.88762, 000000
2020-12-17 13:46:11.290729, 1357.93897,  106.88762, 000000
2020-12-17 13:46:11.290985, 1357.73583,  106.88762, 000000
2020-12-17 13:46:11.291240, 1357.76945,  106.88762, 000000
2020-12-17 13:46:11.291497, 1357.72594,  106.88762, 000000
2020-12-17 13:46:11.291752, 1357.68517,  106.88762, 000000
2020-12-17 13:46:11.292009, 1357.75813,  106.88762, 000000
2020-12-17 13:46:11.292264, 1357.88079,  106.88762, 000000
2020-12-17 13:46:11.292521, 1357.92967,  106.88762, 000000
2020-12-17 13:46:11.292777, 1358.07832,  106.88762, 000000
2020-12-17 13:46:11.293032, 1358.10681,  106.88762, 000000
2020-12-17 13:46:11.293288, 1357.98796,  106.88762, 000000
2020-12-17 13:46:11.293545, 1357.99023,  106.88762, 000000
2020-12-17 13:46:11.293801, 1357.92740,  106.88762, 000000
2020-12-17 13:46:11.294056, 1357.93754,  106.88762, 000000
2020-12-17 13:46:11.294312, 1357.94731,  106.88762, 000000
2020-12-17 13:46:11.294569, 1358.03386,  106.88762, 000000
2020-12-17 13:46:11.294824, 1358.05329,  106.88762, 000000
2020-12-17 13:46:11.295081, 1357.98391,  106.88762, 000000
2020-12-17 13:46:11.295336, 1358.02420,  106.88762, 000000
2020-12-17 13:46:11.295593, 1357.89653,  106.88762, 000000
2020-12-17 13:46:11.295849, 1357.99952,  106.88762, 000000
2020-12-17 13:46:11.296104, 1358.09000,  106.88762, 000000
2020-12-17 13:46:11.296360, 1358.18215,  106.88762, 000000
2020-12-17 13:46:11.296617, 1358.17154,  106.88762, 000000
2020-12-17 13:46:11.296873, 1357.97425,  106.88762, 000000
2020-12-17 13:46:11.297128, 1357.93265,  106.88762, 000000
2020-12-17 13:46:11.297385, 1357.88616,  106.88762, 000000
2020-12-17 13:46:11.297641, 1357.81952,  106.88762, 000000
2020-12-17 13:46:11.297896, 1357.85469,  106.88762, 000000
2020-12-17 13:46:11.298153, 1358.02313,  106.88762, 000000
2020-12-17 13:46:11.298409, 1358.01836,  106.88762, 000000
2020-12-17 13:46:11.298665, 1358.04757,  106.88762, 000000
2020-12-17 13:46:11.298920, 1358.20933,  106.88762, 000000
2020-12-17 13:46:11.299176, 1358.06092,  106.88762, 000000
2020-12-17 13:46:11.299433, 1358.09263,  106.88762, 000000
2020-12-17 13:46:11.299689, 1358.29469,  106.88762, 000000
2020-12-17 13:46:11.299945, 1358.22865,  106.88762, 000000
2020-12-17 13:46:11.300200, 1358.42749,  106.88762, 000000
2020-12-17 13:46:11.300457, 1358.44763,  106.88762, 000000
2020-12-17 13:46:11.300712, 1358.29946,  106.88762, 000000
2020-12-17 13:46:11.300968, 1358.24665,  106.88762, 000000
2020-12-17 13:46:11.301225, 1358.12160,  106.88762, 000000
2020-12-17 13:46:11.301481, 1358.03267,  106.88762, 000000
2020-12-17 13:46:11.301737, 1357.94660,  106.88762, 000000
2020-12-17 13:46:11.301992, 1357.94052,  106.88762, 000000
2020-12-17 13:46:11.302248, 1357.88103,  106.88762, 000000
2020-12-17 13:46:11.302504, 1357.81392,  106.88762, 000000
2020-12-17 13:46:11.302761, 1357.91870,  106.88762, 000000
2020-12-17 13:46:11.303017, 1357.93575,  106.88762, 000000
2020-12-17 13:46:11.303272, 1357.85528,  106.88762, 000000
2020-12-17 13:46:11.303529, 1357.78769,  106.88762, 000000
2020-12-17 13:46:11.303784, 1357.73774,  106.88762, 000000
2020-12-17 13:46:11.304040, 1357.66586,  106.88762, 000000
2020-12-17 13:46:11.304297, 1357.68577,  106.88762, 000000
2020-12-17 13:46:11.304553, 1357.76611,  106.88762, 000000
2020-12-17 13:46:11.304809, 1357.76075,  106.88762, 000000
2020-12-17 13:46:11.305064, 1357.71616,  106.88762, 000000
2020-12-17 13:46:11.305321, 1357.69495,  106.88762, 000000
2020-12-17 13:46:11.305576, 1357.62497,  106.88762, 000000
2020-12-17 13:46:11.305833, 1357.53687,  106.88762, 000000
2020-12-17 13:46:11.306089, 1357.45879,  106.88762, 000000
2020-12-17 13:46:11.306345, 1357.42672,  106.88762, 000000
2020-12-17 13:46:11.306601, 1357.40121,  106.88762, 000000
2020-12-17 13:46:11.306856, 1357.40312,  106.88762, 000000
2020-12-17 13:46:11.307112, 1357.48096,  106.88762, 000000
2020-12-17 13:46:11.307369, 1357.46678,  106.88762, 000000
2020-12-17 13:46:11.307625, 1357.35174,  106.88762, 000000
2020-12-17 13:46:11.307881, 1357.23396,  106.88762, 000000
2020-12-17 13:46:11.308136, 1357.22371,  106.88762, 000000
2020-12-17 13:46:11.308393, 1357.03262,  106.88762, 000000
2020-12-17 13:46:11.308648, 1357.06719,  106.88762, 000000
2020-12-17 13:46:11.308905, 1357.20535,  106.88762, 000000
2020-12-17 13:46:11.309160, 1357.06552,  106.88762, 000000
2020-12-17 13:46:11.309417, 1357.26508,  106.88762, 000000
2020-12-17 13:46:11.309673, 1357.44639,  106.88762, 000000
2020-12-17 13:46:11.309928, 1357.34650,  106.88762, 000000
2020-12-17 13:46:11.310184, 1357.42124,  106.88762, 000000
2020-12-17 13:46:11.310441, 1357.40825,  106.88762, 000000
2020-12-17 13:46:11.310697, 1357.20559,  106.88762, 000000
2020-12-17 13:46:11.310953, 1357.11332,  106.88762, 000000
2020-12-17 13:46:11.311208, 1357.14801,  106.88762, 000000
2020-12-17 13:46:11.311465, 1357.02117,  106.88762, 000000
2020-12-17 13:46:11.311720, 1356.99745,  106.88762, 000000
2020-12-17 13:46:11.311977, 1357.16697,  106.88762, 000000
2020-12-17 13:46:11.312232, 1357.09783,  106.88762, 000000
2020-12-17 13:46:11.312489, 1357.05265,  106.88762, 000000
2020-12-17 13:46:11.312745, 1357.03870,  106.88762, 000000
2020-12-17 13:46:11.313000, 1356.89994,  106.88762, 000000
2020-12-17 13:46:11.313257, 1356.78502,  106.88762, 000000
2020-12-17 13:46:11.313513, 1356.78764,  106.88762, 000000
