Controller name: DT6220, Controller serial number: 1102, Controller software version: 1.1l, Controller option: 0, Controller article number: 4105032, Firmware version: DT6200;V1.3a;8010079, Average type: 4, Average count: 7, Sample time: 256 µs, Measurement rate: 3906.250 Hz, 
Channel 1:, Sensor name: DL6220/ECL3, Serial number: 1034, Article number: 2303023, Range: 2000, Unit: µm, Transmission: on, Math offset (µm): 0.000, , 
Channel 2:, Sensor name: DL6220/ECL3, Serial number: 1035, Article number: 2303023, Range: 100, Unit: µm, Transmission: on, Math offset (µm): 0.000, , 
DAQ-Start-Time:, 2020-12-17 14:06:04.219, 

Protocol Time Stamp(s), Data channel 1 (µm), Data channel 2 (µm), State channel 1
2020-12-17 14:09:30.347540,  844.84558,  106.88762, 000000
2020-12-17 14:09:30.347796,  851.10288,  106.88762, 000000
2020-12-17 14:09:30.348052,  855.89187,  106.88762, 000000
2020-12-17 14:09:30.348308,  858.76124,  106.88762, 000000
2020-12-17 14:09:30.348563,  859.34024,  106.88762, 000000
2020-12-17 14:09:30.348819,  857.54471,  106.88762, 000000
2020-12-17 14:09:30.349076,  853.11323,  106.88762, 000000
2020-12-17 14:09:30.349332,  846.23390,  106.88762, 000000
2020-12-17 14:09:30.349588,  837.59265,  106.88762, 000000
2020-12-17 14:09:30.349844,  827.66264,  106.88762, 000000
2020-12-17 14:09:30.350100,  817.18295,  106.88762, 000000
2020-12-17 14:09:30.350355,  806.99770,  106.88762, 000000
2020-12-17 14:09:30.350612,  797.68388,  106.88762, 000000
2020-12-17 14:09:30.350868,  789.86053,  106.88762, 000000
2020-12-17 14:09:30.351124,  783.94608,  106.88762, 000000
2020-12-17 14:09:30.351380,  780.34108,  106.88762, 000000
2020-12-17 14:09:30.351635,  779.27391,  106.88762, 000000
2020-12-17 14:09:30.351892,  780.85999,  106.88762, 000000
2020-12-17 14:09:30.352148,  784.82847,  106.88762, 000000
2020-12-17 14:09:30.352404,  790.88705,  106.88762, 000000
2020-12-17 14:09:30.352660,  798.69788,  106.88762, 000000
2020-12-17 14:09:30.352916,  807.62856,  106.88762, 000000
2020-12-17 14:09:30.353172,  817.41362,  106.88762, 000000
2020-12-17 14:09:30.353427,  828.70000,  106.88762, 000000
2020-12-17 14:09:30.353684,  839.23869,  106.88762, 000000
2020-12-17 14:09:30.353940,  849.03519,  106.88762, 000000
2020-12-17 14:09:30.354196,  858.18475,  106.88762, 000000
2020-12-17 14:09:30.354452,  865.37450,  106.88762, 000000
2020-12-17 14:09:30.354707,  871.95330,  106.88762, 000000
2020-12-17 14:09:30.354964,  877.29137,  106.88762, 000000
2020-12-17 14:09:30.355219,  880.44553,  106.88762, 000000
2020-12-17 14:09:30.355476,  881.07436,  106.88762, 000000
2020-12-17 14:09:30.355731,  879.31996,  106.88762, 000000
2020-12-17 14:09:30.355988,  875.47784,  106.88762, 000000
2020-12-17 14:09:30.356244,  869.88573,  106.88762, 000000
2020-12-17 14:09:30.356499,  863.09832,  106.88762, 000000
2020-12-17 14:09:30.356756,  855.39453,  106.88762, 000000
2020-12-17 14:09:30.357012,  847.46354,  106.88762, 000000
2020-12-17 14:09:30.357268,  839.80434,  106.88762, 000000
2020-12-17 14:09:30.357523,  832.80640,  106.88762, 000000
2020-12-17 14:09:30.357780,  826.92902,  106.88762, 000000
2020-12-17 14:09:30.358036,  822.80831,  106.88762, 000000
2020-12-17 14:09:30.358291,  820.86139,  106.88762, 000000
2020-12-17 14:09:30.358548,  821.02864,  106.88762, 000000
2020-12-17 14:09:30.358804,  823.15951,  106.88762, 000000
2020-12-17 14:09:30.359060,  826.40307,  106.88762, 000000
2020-12-17 14:09:30.359315,  830.30431,  106.88762, 000000
2020-12-17 14:09:30.359571,  834.70445,  106.88762, 000000
2020-12-17 14:09:30.359828,  839.29913,  106.88762, 000000
2020-12-17 14:09:30.360084,  844.05809,  106.88762, 000000
2020-12-17 14:09:30.360340,  848.57123,  106.88762, 000000
2020-12-17 14:09:30.360595,  852.49858,  106.88762, 000000
2020-12-17 14:09:30.360852,  855.62115,  106.88762, 000000
2020-12-17 14:09:30.361108,  857.44696,  106.88762, 000000
2020-12-17 14:09:30.361363,  857.84631,  106.88762, 000000
2020-12-17 14:09:30.361620,  856.53179,  106.88762, 000000
2020-12-17 14:09:30.361876,  853.16210,  106.88762, 000000
2020-12-17 14:09:30.362132,  847.68372,  106.88762, 000000
2020-12-17 14:09:30.362387,  840.48169,  106.88762, 000000
2020-12-17 14:09:30.362643,  832.28772,  106.88762, 000000
2020-12-17 14:09:30.362900,  823.69237,  106.88762, 000000
2020-12-17 14:09:30.363156,  814.92322,  106.88762, 000000
2020-12-17 14:09:30.363412,  805.73242,  106.88762, 000000
2020-12-17 14:09:30.363667,  796.26815,  106.88762, 000000
2020-12-17 14:09:30.363924,  787.26821,  106.88762, 000000
2020-12-17 14:09:30.364179,  779.61080,  106.88762, 000000
2020-12-17 14:09:30.364435,  774.03931,  106.88762, 000000
2020-12-17 14:09:30.364692,  770.85953,  106.88762, 000000
2020-12-17 14:09:30.364948,  769.97905,  106.88762, 000000
2020-12-17 14:09:30.365204,  771.57454,  106.88762, 000000
2020-12-17 14:09:30.365459,  775.73304,  106.88762, 000000
2020-12-17 14:09:30.365716,  782.14018,  106.88762, 000000
2020-12-17 14:09:30.365971,  790.29839,  106.88762, 000000
2020-12-17 14:09:30.366228,  799.50171,  106.88762, 000000
2020-12-17 14:09:30.366484,  809.10699,  106.88762, 000000
2020-12-17 14:09:30.366740,  818.73767,  106.88762, 000000
2020-12-17 14:09:30.366996,  828.20051,  106.88762, 000000
2020-12-17 14:09:30.367251,  837.02116,  106.88762, 000000
2020-12-17 14:09:30.367507,  844.82818,  106.88762, 000000
2020-12-17 14:09:30.367764,  851.29469,  106.88762, 000000
2020-12-17 14:09:30.368020,  856.21291,  106.88762, 000000
2020-12-17 14:09:30.368276,  859.36408,  106.88762, 000000
2020-12-17 14:09:30.368531,  860.39250,  106.88762, 000000
2020-12-17 14:09:30.368788,  859.07226,  106.88762, 000000
2020-12-17 14:09:30.369043,  854.96681,  106.88762, 000000
2020-12-17 14:09:30.369300,  848.34771,  106.88762, 000000
2020-12-17 14:09:30.369556,  839.75415,  106.88762, 000000
2020-12-17 14:09:30.369812,  829.70731,  106.88762, 000000
2020-12-17 14:09:30.370068,  819.20581,  106.88762, 000000
2020-12-17 14:09:30.370323,  808.76796,  106.88762, 000000
2020-12-17 14:09:30.370579,  799.11606,  106.88762, 000000
2020-12-17 14:09:30.370836,  790.90290,  106.88762, 000000
2020-12-17 14:09:30.371092,  784.38823,  106.88762, 000000
2020-12-17 14:09:30.371348,  780.18956,  106.88762, 000000
2020-12-17 14:09:30.371603,  778.62434,  106.88762, 000000
2020-12-17 14:09:30.371860,  779.60663,  106.88762, 000000
2020-12-17 14:09:30.372115,  783.12557,  106.88762, 000000
2020-12-17 14:09:30.372372,  788.81614,  106.88762, 000000
2020-12-17 14:09:30.372628,  796.11032,  106.88762, 000000
2020-12-17 14:09:30.372884,  804.76658,  106.88762, 000000
2020-12-17 14:09:30.373140,  814.28378,  106.88762, 000000
2020-12-17 14:09:30.373395,  825.59316,  106.88762, 000000
2020-12-17 14:09:30.373652,  836.24892,  106.88762, 000000
2020-12-17 14:09:30.373908,  846.02576,  106.88762, 000000
2020-12-17 14:09:30.374164,  855.27437,  106.88762, 000000
2020-12-17 14:09:30.374420,  862.34181,  106.88762, 000000
2020-12-17 14:09:30.374676,  868.95280,  106.88762, 000000
2020-12-17 14:09:30.374932,  874.41450,  106.88762, 000000
2020-12-17 14:09:30.375187,  877.74997,  106.88762, 000000
2020-12-17 14:09:30.375444,  878.64845,  106.88762, 000000
2020-12-17 14:09:30.375700,  877.17932,  106.88762, 000000
2020-12-17 14:09:30.375956,  873.68947,  106.88762, 000000
2020-12-17 14:09:30.376212,  868.45868,  106.88762, 000000
2020-12-17 14:09:30.376467,  861.81300,  106.88762, 000000
2020-12-17 14:09:30.376724,  854.19433,  106.88762, 000000
2020-12-17 14:09:30.376980,  846.17155,  106.88762, 000000
2020-12-17 14:09:30.377236,  838.25212,  106.88762, 000000
2020-12-17 14:09:30.377491,  830.92694,  106.88762, 000000
2020-12-17 14:09:30.377748,  824.72699,  106.88762, 000000
2020-12-17 14:09:30.378004,  820.18249,  106.88762, 000000
2020-12-17 14:09:30.378259,  817.72428,  106.88762, 000000
2020-12-17 14:09:30.378516,  817.58516,  106.88762, 000000
2020-12-17 14:09:30.378772,  819.31357,  106.88762, 000000
2020-12-17 14:09:30.379028,  822.30990,  106.88762, 000000
2020-12-17 14:09:30.379283,  826.10362,  106.88762, 000000
2020-12-17 14:09:30.379539,  830.26128,  106.88762, 000000
2020-12-17 14:09:30.379796,  834.81364,  106.88762, 000000
2020-12-17 14:09:30.380052,  839.46638,  106.88762, 000000
2020-12-17 14:09:30.380308,  843.92350,  106.88762, 000000
2020-12-17 14:09:30.380563,  847.99128,  106.88762, 000000
2020-12-17 14:09:30.380820,  851.28241,  106.88762, 000000
2020-12-17 14:09:30.381076,  853.49231,  106.88762, 000000
2020-12-17 14:09:30.381331,  854.29948,  106.88762, 000000
2020-12-17 14:09:30.381588,  853.39372,  106.88762, 000000
2020-12-17 14:09:30.381844,  850.27724,  106.88762, 000000
2020-12-17 14:09:30.382100,  845.06779,  106.88762, 000000
2020-12-17 14:09:30.382355,  838.07438,  106.88762, 000000
2020-12-17 14:09:30.382612,  829.91843,  106.88762, 000000
2020-12-17 14:09:30.382868,  821.51930,  106.88762, 000000
2020-12-17 14:09:30.383124,  812.86340,  106.88762, 000000
2020-12-17 14:09:30.383380,  803.72744,  106.88762, 000000
2020-12-17 14:09:30.383636,  794.31300,  106.88762, 000000
2020-12-17 14:09:30.383892,  785.15332,  106.88762, 000000
2020-12-17 14:09:30.384147,  777.14209,  106.88762, 000000
2020-12-17 14:09:30.384403,  771.19999,  106.88762, 000000
2020-12-17 14:09:30.384660,  767.64862,  106.88762, 000000
2020-12-17 14:09:30.384916,  766.35449,  106.88762, 000000
2020-12-17 14:09:30.385172,  767.53025,  106.88762, 000000
2020-12-17 14:09:30.385427,  771.41814,  106.88762, 000000
2020-12-17 14:09:30.385684,  777.47683,  106.88762, 000000
2020-12-17 14:09:30.385939,  785.39603,  106.88762, 000000
2020-12-17 14:09:30.386196,  794.56155,  106.88762, 000000
2020-12-17 14:09:30.386452,  804.06456,  106.88762, 000000
2020-12-17 14:09:30.386708,  813.74543,  106.88762, 000000
2020-12-17 14:09:30.386964,  823.35751,  106.88762, 000000
2020-12-17 14:09:30.387219,  832.33588,  106.88762, 000000
2020-12-17 14:09:30.387475,  840.46858,  106.88762, 000000
2020-12-17 14:09:30.387732,  847.36531,  106.88762, 000000
2020-12-17 14:09:30.387988,  852.74165,  106.88762, 000000
2020-12-17 14:09:30.388243,  856.42462,  106.88762, 000000
2020-12-17 14:09:30.388499,  857.87456,  106.88762, 000000
2020-12-17 14:09:30.388755,  857.01387,  106.88762, 000000
2020-12-17 14:09:30.389011,  853.44928,  106.88762, 000000
2020-12-17 14:09:30.389268,  847.30022,  106.88762, 000000
2020-12-17 14:09:30.389524,  839.20675,  106.88762, 000000
2020-12-17 14:09:30.389780,  829.53899,  106.88762, 000000
2020-12-17 14:09:30.390035,  819.14811,  106.88762, 000000
2020-12-17 14:09:30.390291,  808.72433,  106.88762, 000000
2020-12-17 14:09:30.390547,  798.99769,  106.88762, 000000
2020-12-17 14:09:30.390804,  790.59164,  106.88762, 000000
2020-12-17 14:09:30.391060,  783.84404,  106.88762, 000000
2020-12-17 14:09:30.391315,  779.34556,  106.88762, 000000
2020-12-17 14:09:30.391572,  777.30577,  106.88762, 000000
2020-12-17 14:09:30.391827,  777.94020,  106.88762, 000000
2020-12-17 14:09:30.392083,  781.16660,  106.88762, 000000
2020-12-17 14:09:30.392340,  786.58538,  106.88762, 000000
2020-12-17 14:09:30.392596,  793.83330,  106.88762, 000000
